City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
235,phan rang-thap cham,11.5667,108.9833,25.11,85,84,1.09,VN,1730221871
236,senahu,15.4,-89.8333,22.62,66,90,1.74,GT,1730221874
237,san antonio de pale,-1.4014,5.6325,25.45,83,96,4.71,GQ,1730221875
238,horsham,51.064,-0.3272,14.01,80,75,1.03,GB,1730221578
239,echuca,-36.1333,144.75,11.09,79,5,3.13,AU,1730221877
240,susuman,62.7833,148.1667,-18.02,96,100,1.57,RU,1730221878
241,brak,27.5496,14.2714,25.2,24,3,3.16,LY,1730221879
242,sheboygan,43.7333,-87.9334,25.13,54,0,10.29,US,1730221880
243,el nido,11.1858,119.3956,27.3,92,94,0.45,PH,1730221881
244,kimberley,-28.7323,24.7623,18.39,37,55,6.81,ZA,1730221882
245,suwayr,30.1171,40.3893,21.55,36,25,6.0,SA,1730221883
246,maintirano,-18.0667,44.0167,27.07,85,83,2.12,MG,1730221884
247,nyurba,63.2842,118.3319,-24.62,100,99,0.36,RU,1730221885
248,argo,37.6333,22.7333,20.35,36,16,2.22,GR,1730221886
249,san ignacio de velasco,-16.3667,-60.95,31.54,47,98,0.74,BO,1730221887
250,east london,-33.0153,27.9116,17.52,82,100,9.77,ZA,1730221888
251,port shepstone,-30.7414,30.455,19.92,75,54,5.32,ZA,1730221890
252,pacific grove,36.6177,-121.9166,12.89,85,0,1.79,US,1730221891
253,vadso,70.0744,29.7487,2.09,60,0,9.77,NO,1730221892
254,vernon,50.2581,-119.2691,5.25,80,65,1.79,CA,1730221681
255,lihue,21.9789,-159.3672,25.77,78,100,5.14,US,1730221792
256,tulun,54.5611,100.5792,2.69,89,100,2.52,RU,1730221895
257,nova sintra,14.8667,-24.7167,25.55,71,83,5.8,CV,1730221896
258,oak hill,37.9723,-81.1487,22.37,53,67,2.68,US,1730221784
259,tofol,5.3248,163.0078,28.57,75,48,3.36,FM,1730221898
260,lycksele,64.5954,18.6735,2.93,60,0,5.14,SE,1730222291
261,nova olinda do norte,-3.8881,-59.0942,41.83,16,87,1.79,BR,1730222292
262,sanchazi,42.0817,126.6003,6.48,94,95,1.8,CN,1730222293
263,la ronge,55.1001,-105.2842,-0.86,74,75,5.14,CA,1730222294
264,eyl,7.9803,49.8164,26.92,76,39,4.91,SO,1730222295
265,madang,-5.2246,145.7966,23.72,88,100,1.22,PG,1730222296
266,xinqing,48.2333,129.5,1.46,80,100,0.31,CN,1730222297
267,oistins,13.0667,-59.5333,31.05,70,40,5.66,BB,1730222260
268,chonchi,-42.6128,-73.8092,19.46,48,97,2.35,CL,1730222299
269,miles city,46.4083,-105.8406,8.54,53,75,3.6,US,1730222300
270,sanctuary point,-35.1114,150.629,10.17,91,0,1.67,AU,1730222302
271,brookings,44.3114,-96.7984,14.54,60,100,4.12,US,1730222303
272,oamaru,-45.0784,170.9801,6.88,87,38,1.44,NZ,1730222304
273,ancud,-41.8697,-73.8203,15.93,66,100,2.57,CL,1730222305
274,kenora,49.8167,-94.4337,6.54,81,100,3.09,CA,1730222306
275,fort st. john,56.2499,-120.8529,-7.06,93,75,2.06,CA,1730222307
276,le port,-20.9373,55.2919,23.2,91,92,1.37,RE,1730222308
277,sumbe,-11.2061,13.8437,25.11,77,16,4.63,AO,1730222309
278,talara,-4.5772,-81.2719,25.42,61,0,7.2,PE,1730222281
279,benjamin aceval,-24.9667,-57.5667,38.44,27,30,1.44,PY,1730222311
280,selfoss,63.9331,-20.9971,4.47,84,100,12.12,IS,1730222313
281,achacachi,-16.05,-68.6833,13.8,53,31,5.42,BO,1730222314
282,kuraymah,18.55,31.85,29.61,17,0,5.76,SD,1730222315
283,hami,42.8,93.45,10.58,50,6,3.02,CN,1730222316
284,chharra,27.9333,78.4167,26.87,44,0,1.25,IN,1730222317
285,ta`u,-14.2336,-169.5144,26.69,76,39,10.02,AS,1730222318
286,la foa,-21.7108,165.8276,20.71,85,14,3.52,NC,1730222319
287,ormara,25.2088,64.6357,27.8,76,0,6.53,PK,1730222320
288,miquelon,47.0975,-56.3814,5.74,59,7,4.34,PM,1730222321
289,bubaque,11.2833,-15.8333,28.56,67,50,1.99,GW,1730222323
290,chitipa,-9.7024,33.2697,23.15,60,74,1.19,MW,1730222324
291,buka,40.8108,69.1986,9.68,52,98,2.63,UZ,1730222325
292,consett,54.854,-1.8316,10.52,85,90,3.69,GB,1730222326
293,laguna,38.421,-121.4238,12.35,62,0,3.09,US,1730222327
294,chingirlau,51.095,54.0814,2.52,58,33,2.06,KZ,1730222328
295,tukrah,32.5341,20.5791,21.1,69,14,4.82,LY,1730222329
296,luanda,-8.8368,13.2343,26.0,78,20,6.17,AO,1730222077
297,kamenka,51.3223,42.7678,6.58,86,85,3.23,RU,1730222331
298,chilecito,-29.1619,-67.4974,28.67,25,0,2.58,AR,1730222162
299,borogontsy,62.6683,131.1683,-23.23,100,87,0.98,RU,1730222333
300,obiaruku,5.8467,6.1526,26.65,81,100,1.76,NG,1730222334
301,fauske,67.2588,15.3918,7.19,93,100,9.54,NO,1730222335
302,shakawe,-18.3667,21.85,26.83,10,0,2.99,BW,1730222336
303,dunedin,-45.8742,170.5036,7.11,87,42,2.24,NZ,1730222338
304,kirakira,-10.4544,161.9205,25.46,88,74,1.33,SB,1730222341
305,anadyr,64.75,177.4833,-5.0,67,40,6.71,RU,1730222342
306,colonia,50.9333,6.95,15.42,82,100,1.03,DE,1730222161
307,meulaboh,4.1363,96.1285,25.07,87,100,1.31,ID,1730222344
308,dudinka,69.4058,86.1778,-17.38,100,79,1.98,RU,1730222345
309,new norfolk,-42.7826,147.0587,9.4,97,100,1.33,AU,1730222346
310,hirara,24.8,125.2833,27.15,89,100,10.8,JP,1730222347
311,broken hill,-31.95,141.4333,17.03,30,0,2.01,AU,1730222348
312,kapuskasing,49.4169,-82.4331,8.0,100,100,4.12,CA,1730222349
313,ust-nera,64.5667,143.2,-17.53,98,100,1.38,RU,1730222350
314,puerto colombia,10.9878,-74.9547,34.05,69,100,3.22,CO,1730222351
315,punta arenas,-53.15,-70.9167,10.06,62,75,12.86,CL,1730222352
316,igarka,67.4667,86.5833,-15.43,98,65,2.19,RU,1730222353
317,kabare,-2.4683,28.8242,18.6,90,66,0.11,CD,1730222355
318,petauke,-14.2426,31.3253,24.7,59,77,1.98,ZM,1730222161
319,kurchatov,51.6601,35.6521,5.99,75,3,2.97,RU,1730222357
320,afaahiti,-17.75,-149.2833,23.17,62,79,7.28,PF,1730222358
321,benguela,-12.5763,13.4055,24.64,75,13,3.55,AO,1730222359
322,mil'kovo,55.6078,37.7956,5.35,48,48,4.73,RU,1730222360
323,puerto el triunfo,13.2833,-88.55,30.1,63,85,3.0,SV,1730222361
324,pelhrimov,49.4313,15.2234,11.18,89,43,0.45,CZ,1730222362
325,la'ie,21.6477,-157.9253,25.61,83,83,3.58,US,1730222363
326,ola,59.5833,151.2833,-8.32,66,100,5.59,RU,1730222364
327,lijiang,26.8688,100.2207,9.52,91,3,1.0,CN,1730222365
328,natchez,31.5604,-91.4032,27.69,54,40,7.72,US,1730222367
329,encheng,22.1839,112.3026,20.87,79,100,1.55,CN,1730222368
330,usinsk,65.9939,57.5281,0.13,99,100,6.41,RU,1730222369
331,conception bay south,47.4999,-52.9981,3.63,90,38,4.94,CA,1730222370
332,kayangel,8.0823,134.7173,29.09,74,100,3.75,PW,1730222371
333,moses lake,47.1301,-119.2781,2.2,80,0,1.54,US,1730222372
334,yaren,-0.5472,166.916,28.13,77,24,4.11,NR,1730222373
335,mount isa,-20.7333,139.5,26.87,26,2,3.09,AU,1730222374
336,klyuchi,52.2667,79.1667,0.11,82,100,3.92,RU,1730222375
337,hasaki,35.7333,140.8333,19.42,87,100,8.08,JP,1730222376
338,pandan,14.0453,124.1694,26.88,81,100,5.81,PH,1730222377
339,sao jose,-28.2333,-49.1667,30.56,43,0,3.55,BR,1730222378
340,puerto tejada,3.2311,-76.4167,28.09,54,62,0.98,CO,1730222379
341,anjiang,27.3194,110.1031,16.21,84,1,1.0,CN,1730222382
342,lukolela,-1.0605,17.1821,23.9,86,94,1.2,CD,1730222383
343,talcahuano,-36.7167,-73.1167,13.82,88,100,5.14,CL,1730222184
344,sitka,57.0531,-135.33,7.94,71,100,7.72,US,1730222385
345,necochea,-38.5473,-58.7368,27.96,25,8,7.17,AR,1730222028
346,bardsir,29.9227,56.5743,14.8,39,0,1.68,IR,1730222387
347,mirny,62.5353,113.9611,-19.68,100,100,0.97,RU,1730222388
348,wajir,1.7471,40.0573,32.19,31,100,3.39,KE,1730222010
349,christchurch,-43.5333,172.6333,7.42,89,20,3.09,NZ,1730221736
350,gornozavodsk,58.3758,58.3211,0.2,79,100,2.38,RU,1730222391
351,jacksonville,30.3322,-81.6556,23.92,85,100,4.63,US,1730222169
352,santa cruz,-17.8,-63.1667,33.03,58,40,3.6,BO,1730222333
353,vorgashor,67.5833,63.95,-2.56,96,99,3.98,RU,1730222394
354,yuanping,38.7153,112.7575,11.53,39,78,1.26,CN,1730222395
355,bairnsdale,-37.8333,147.6167,8.36,92,21,2.44,AU,1730222396
356,westerland,54.9079,8.3033,14.01,94,100,3.6,DE,1730222397
357,palikir - national government center,6.9248,158.1611,26.41,94,75,0.0,FM,1730222398
358,zyryanskoye,56.8306,86.6258,0.79,85,100,4.96,RU,1730222399
359,waingapu,-9.6567,120.2641,28.27,68,43,2.87,ID,1730222401
360,iquique,-20.2208,-70.1431,19.07,72,2,4.17,CL,1730222039
361,bima,-8.4667,118.7167,25.47,85,73,1.59,ID,1730222270
362,sainte-marie,-20.8968,55.5496,24.0,84,40,2.57,RE,1730222404
363,panaba,21.2833,-88.2667,27.57,80,85,4.85,MX,1730222405
364,tvoroyri,61.5556,-6.8111,8.95,78,25,13.08,FO,1730222406
365,obo,5.3998,26.4869,24.7,74,35,1.25,CF,1730222407
